nom_sample;dent;hauteur_sample;d13CVPDB_COR;d13C/12C_SD;d18OVPD_COR;d18O/16O _SD;d18Ovsmow;predicted_phosphate_Iacumin1996;;;;;;;;;;;;;;;;;
R_6292_M1/2 11;M1/2;31,04;-10,833;0,02;-4,713;0,026;26,05132117;17,03029475;;;;;;;;;;;;;;;;;
R_6292_M1/2 12;M1/2;27,76;-11,136;0,019;-4,721;0,033;26,04307389;17,02221241;;;;;;;;;;;;;;;;;
R_6292_M1/2 13;M1/2;23,95;-11,162;0,018;-4,149;0,02;26,63275441;17,60009932;;;;;;;;;;;;;;;;;
R_6292_M1/2 14;M1/2;20,52;-10,905;0,013;-4,485;0,034;26,28636865;17,26064128;;;;;;;;;;;;;;;;;
R_6292_M1/2 15;M1/2;16,66;-10,728;0,019;-4,983;0,015;25,77297547;16,75751596;;;;;;;;;;;;;;;;;
R_6292_M1/2 16;M1/2;12,27;-11,106;0,014;-4,045;0,013;26,73996905;17,70516967;;;;;;;;;;;;;;;;;
R_6292_M1/2 17;M1/2;9;-10,604;0,02;-4,88;0,015;25,8791592;16,86157602;;;;;;;;;;;;;;;;;
R_6292_M1/2 18;M1/2;5,28;-10,63;0,009;-3,723;0,008;27,07192207;18,03048363;;;;;;;;;;;;;;;;;
R_5378_P3/4 1;P3/4;61,4;-10,48028571;0,018;-5,726285714;0,027;25,00671479;16,0065805;;;;;;;;;;;;;;;;;
R_5378_P3/4 2;P3/4;58,24;-10,71728571;0,018;-5,050285714;0,023;25,70360995;16,68953776;;;;;;;;;;;;;;;;;
R_5378_P3/4 3;P3/4;54,57;-10,80728571;0,01;-5,079285714;0,018;25,67371356;16,66023929;;;;;;;;;;;;;;;;;
R_5378_P3/4 4;P3/4;51,18;-10,93828571;0,016;-4,613285714;0,014;26,15411762;17,13103527;;;;;;;;;;;;;;;;;
R_5378_P3/4 5;P3/4;47,28;-11,06828571;0,021;-4,107285714;0,032;26,67575808;17,64224292;;;;;;;;;;;;;;;;;
R_5378_P3/4 6;P3/4;43,73;-11,01128571;0,009;-3,977285714;0,015;26,80977638;17,77358086;;;;;;;;;;;;;;;;;
R_5378_P3/4 7;P3/4;40,06;-11,02728571;0,009;-4,212285714;0,016;26,56751253;17,53616228;;;;;;;;;;;;;;;;;
R_5378_P3/4 8;P3/4;36,34;-10,76428571;0,012;-4,975285714;0,029;25,7809282;16,76530964;;;;;;;;;;;;;;;;;
R_5378_P3/4 9;P3/4;32,79;-10,68428571;0,023;-4,884285714;0,021;25,87474101;16,85724619;;;;;;;;;;;;;;;;;
R_5378_P3/4 10;P3/4;29,69;-10,33228571;0,017;-5,379285714;0,017;25,36444056;16,35715175;;;;;;;;;;;;;;;;;
R_5378_P3/4 11;P3/4;25,79;-10,57628571;0,02;-4,973285714;0,018;25,78299002;16,76733022;;;;;;;;;;;;;;;;;
R_5378_P3/4 12;P3/4;22,57;-10,80228571;0,014;-4,461285714;0,023;26,31081594;17,28459963;;;;;;;;;;;;;;;;;
R_5378_P3/4 13;P3/4;19,11;-10,96228571;0,015;-4,089285714;0,027;26,69431446;17,66042818;;;;;;;;;;;;;;;;;
R_5378_P3/4 14;P3/4;15,54;-10,73728571;0,017;-3,956285714;0,021;26,83142549;17,79479698;;;;;;;;;;;;;;;;;
R_5378_P3/4 15;P3/4;12,15;-10,74428571;0,019;-4,400285714;0,023;26,37370145;17,34622743;;;;;;;;;;;;;;;;;
R_5378_P3/4 16;P3/4;8,96;-10,66728571;0,015;-3,391285714;0,026;27,41388964;18,36561185;;;;;;;;;;;;;;;;;
R_2367_M1/2 1;M1/2;63,51;-10,7735;0,024;-3,6959;0,03;27,09985973;18,05786254;;;;;;;;;;;;;;;;;
R_2367_M1/2 2;M1/2;59,55;-10,8025;0,014;-3,1539;0,018;27,65861295;18,60544069;;;;;;;;;;;;;;;;;
R_2367_M1/2 3;M1/2;55,57;-10,9495;0,016;-2,7609;0,014;28,06376058;19,00248537;;;;;;;;;;;;;;;;;
R_2367_M1/2 4;M1/2;51,71;-10,9805;0,017;-2,5659;0,015;28,26478803;19,19949227;;;;;;;;;;;;;;;;;
R_2367_M1/2 5;M1/2;48,32;-10,5845;0,017;-2,2959;0,028;28,54313373;19,47227106;;;;;;;;;;;;;;;;;
R_2367_M1/2 6;M1/2;44,14;-11,0435;0,017;-2,9679;0,031;27,85036221;18,79335497;;;;;;;;;;;;;;;;;
R_2367_M1/2 7;M1/2;40,49;-10,4815;0,014;-2,6289;0,018;28,1998407;19,13584389;;;;;;;;;;;;;;;;;
R_2367_M1/2 8;M1/2;36,26;-10,6505;0,019;-3,0429;0,037;27,77304396;18,71758308;;;;;;;;;;;;;;;;;
R_2367_M1/2 9;M1/2;31,77;-10,4665;0,015;-3,5589;0,022;27,2410944;18,19627251;;;;;;;;;;;;;;;;;
R_2367_M1/2 10;M1/2;27,46;-10,3445;0,012;-4,3429;0,025;26,43286096;17,40420374;;;;;;;;;;;;;;;;;
R_2367_M1/2 11;M1/2;23,28;-10,6255;0,026;-4,6459;0,013;26,12049523;17,09808533;;;;;;;;;;;;;;;;;
R_2367_M1/2 12;M1/2;19,59;-10,6185;0,012;-4,5179;0,043;26,25245171;17,22740268;;;;;;;;;;;;;;;;;
R_2367_M1/2 13;M1/2;15,6;-10,5625;0,011;-4,1139;0,029;26,66893935;17,63556056;;;;;;;;;;;;;;;;;
R_2367_M1/2 14;M1/2;11,43;-10,8215;0,017;-4,0529;0,032;26,73182486;17,69718836;;;;;;;;;;;;;;;;;
R_2367_M1/2 15;M1/2;7,67;-10,7375;0,021;-3,7639;0,027;27,02975785;17,98916269;;;;;;;;;;;;;;;;;
R_2367_M1/2 16;M1/2;4,4;-10,8825;0,015;-4,0049;0,034;26,78130854;17,74568237;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 1;M2;65,03;-11,99525;0,018;-5,677625;0,027;25,05687961;16,05574202;;;;;;;;;;;;;;;;;
P_IV0_M101.12_M2 2;M2;61,36;-12,02725;0,014;-6,015625;0,015;24,70843203;15,71426339;;;;;;;;;;;;;;;;;
