nom_sample;dent;hauteur_sample;d13CVPDB_COR;d13C/12C_SD;d18OVPD_COR;d18O/16O _SD;d18Ovsmow;predicted_phosphate_Iacumin1996;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 8;nd;63,15;-11,1701;0,01;-5,4107;0,035;25,33205526;16,32541416;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 9;nd;59,42;-11,1261;0,011;-5,4467;0,023;25,2949425;16,28904365;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 10;nd;55,71;-11,1921;0,016;-4,7907;0,015;25,97121946;16,95179507;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 11;nd;51,62;-11,5891;0,014;-5,3687;0,026;25,37535348;16,36784641;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 12;nd;47,48;-11,4341;0,015;-4,8657;0,032;25,89390121;16,87602319;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 13;nd;43,8;-11,5861;0,01;-5,2177;0,014;25,53102089;16,52040048;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 14;nd;40;-11,3501;0,018;-5,5057;0,033;25,23411881;16,22943644;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 15;nd;34,27;-11,1721;0,012;-5,4247;0,029;25,31762252;16,31127007;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 16;nd;30,4;-11,2271;0,013;-5,1997;0,021;25,54957727;16,53858573;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 17;nd;26,6;-11,1321;0,014;-5,2467;0,028;25,5011245;16,49110201;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 18;nd;22,54;-11,1501;0,019;-4,7207;0,022;26,04338316;17,0225155;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 19;nd;19,06;-10,8541;0,014;-5,6507;0,034;25,08463686;16,08294413;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 20;nd;15,19;-10,9141;0,024;-5,0887;0,032;25,66400828;16,65072812;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 1;P3;49,77;-10,8509;0,012;-4,5099;0,014;26,26069899;17,23548501;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 2;P3;46,11;-10,7409;0,014;-4,8639;0,028;25,89575685;16,87784171;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 3;P3;43,11;-10,2299;0,017;-5,9449;0,04;24,78134314;15,78571628;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 4;P3;39,42;-10,3609;0,014;-5,9029;0,04;24,82464136;15,82814853;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 5;P3;35,79;-10,5069;0,015;-5,8239;0,024;24,90608325;15,90796159;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 6;P3;31,75;-10,8119;0,015;-5,6389;0,031;25,0968016;16,09486557;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 7;P3;28,24;-10,9359;0,017;-5,6329;0,028;25,10298706;16,10092732;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 8;P3;24,46;-10,9419;0,013;-5,3099;0,018;25,43597099;16,42725157;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 9;P3;20,85;-10,5999;0,017;-5,4539;0,014;25,28751995;16,28176955;;;;;;;;;;;;;;;;;
Fritsch_LR3_c5a_eq 10;P3;16,77;-10,8999;0,021;-5,0729;0,018;25,68029666;16,66669073;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 1;nd;44,68;-11,0959;0,019;-5,4209;0,026;25,32153998;16,31510918;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 2;nd;41,15;-11,1929;0,022;-4,7369;0,053;26,02668242;17,00614877;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 3;nd;37,77;-11,1789;0,019;-5,1179;0,031;25,63390571;16,6212276;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 4;nd;34,28;-11,2549;0,015;-5,6449;0,033;25,09061614;16,08880382;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 5;nd;31,24;-10,6889;0,017;-6,2659;0,021;24,45042103;15,46141261;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 6;nd;27,44;-10,9799;0,024;-6,0969;0,031;24,62464482;15,63215192;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 7;nd;23,52;-11,0019;0,017;-6,0209;0,011;24,70299398;15,7089341;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 8;nd;19,86;-10,9929;0,024;-5,7159;0,02;25,01742153;16,0170731;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 9;nd;16,26;-10,3209;0,012;-6,2509;0,036;24,46588468;15,47656699;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 10;nd;13,23;-10,4519;0,015;-5,5989;0,033;25,138038;16,13527724;;;;;;;;;;;;;;;;;
Fritsch_LR4_eq 11;nd;9,94;-10,6119;0,019;-5,6589;0,027;25,0761834;16,07465973;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 1;nd;57,63;-11,1269;0,014;-4,3389;0,038;26,4369846;17,40824491;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 2;nd;54,2;-11,1089;0,007;-4,8239;0,025;25,93699325;16,91825339;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 3;nd;50,57;-10,8429;0,016;-4,7529;0,036;26,01018786;16,9899841;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 4;nd;47,04;-10,7299;0,021;-4,9219;0,021;25,83596407;16,81924479;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 5;nd;43,54;-10,9869;0,012;-5,1209;0,018;25,63081298;16,61819672;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 6;nd;39,74;-11,0289;0,008;-5,1209;0,033;25,63081298;16,61819672;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 7;nd;36;-11,0119;0,01;-4,9149;0,015;25,84318044;16,82631683;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 8;nd;32,1;-11,0119;0,01;-4,7989;0,028;25,962766;16,94351068;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 9;nd;28,13;-11,0969;0,011;-4,6069;0,025;26,16070072;17,13748671;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 10;nd;24,4;-11,3569;0,012;-4,8249;0,03;25,93596234;16,91724309;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 11;nd;20,54;-11,2749;0,029;-4,8569;0,031;25,90297322;16,88491376;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 12;nd;16,71;-10,9689;0,023;-5,6569;0,026;25,07824522;16,07668032;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 13;nd;12,76;-10,8989;0,014;-5,4989;0,028;25,241129;16,23630642;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 14;nd;8,43;-10,8679;0,012;-5,1909;0,031;25,55864928;16,5474763;;;;;;;;;;;;;;;;;
Fritsch_LR5_eq 15;nd;4,93;-10,7459;0,01;-4,9299;0,016;25,82771679;16,81116246;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 1;M1/2;49,6;-11,145875;0,02;-6,41575;0,034;24,29593917;15,31002038;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 2;M1/2;46,44;-11,033875;0,011;-6,54575;0,024;24,16192087;15,17868245;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 3;M1/2;42,98;-10,985875;0,009;-6,79675;0,034;23,90316246;14,92509921;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 4;M1/2;39,82;-10,965875;0,023;-7,03775;0,02;23,65471315;14,68161888;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 5;M1/2;36,64;-11,038875;0,02;-6,85575;0,014;23,84233877;14,86549199;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 6;M1/2;33,71;-11,127875;0,011;-5,86375;0,026;24,86500149;15,86770146;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 7;M1/2;30,8;-11,092875;0,008;-5,73575;0,023;24,99695797;15,99701881;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 8;M1/2;28;-11,343875;0,006;-5,72375;0,015;25,00932889;16,00914231;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 9;M1/2;25,25;-11,359875;0,011;-5,66275;0,023;25,0722144;16,07077011;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 10;M1/2;22,2;-11,292875;0,017;-5,34175;0,034;25,40313651;16,39507378;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 11;M1/2;19,18;-11,209875;0,015;-5,06175;0,035;25,69179131;16,67795548;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 12;M1/2;16,03;-11,063875;0,013;-4,80475;0,016;25,95673518;16,93760047;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 13;M1/2;13,23;-11,123875;0,009;-4,74675;0,029;26,01652796;16,9961974;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 14;M1/2;10,11;-11,115875;0,013;-4,60475;0,03;26,16291718;17,13965883;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 15;M1/2;7,24;-11,087875;0,01;-5,19975;0,035;25,54952573;16,53853521;;;;;;;;;;;;;;;;;
Fritsch_LR6_c4_eq 16;M1/2;4,62;-11,194875;0,02;-4,72175;0,016;26,04230071;17,02145469;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 1;P4;46,32;-11,180875;0,017;-5,48275;0,026;25,2577782;16,25262263;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 2;P4;42,94;-11,132875;0,025;-4,97875;0,026;25,77735684;16,7618097;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 3;P4;39,3;-11,362875;0,009;-4,54175;0,03;26,22786451;17,20330722;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 4;P4;35,9;-11,286875;0,01;-3,99375;0,034;26,79280319;17,75694712;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 5;P4;32,85;-11,357875;0,021;-3,82275;0,021;26,9690888;17,92970702;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 6;P4;29,42;-11,444875;0,008;-3,91975;0,025;26,86909053;17,83170872;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 7;P4;26,27;-11,548875;0,015;-4,43975;0,019;26,33301733;17,30635698;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 8;P4;22,74;-11,617875;0,016;-4,43375;0,028;26,33920279;17,31241873;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 9;P4;19,26;-11,541875;0,005;-5,19775;0,028;25,55158755;16,5405558;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 10;P4;15,51;-11,372875;0,014;-6,36675;0,028;24,34645376;15,35952468;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 11;P4;12,17;-11,426875;0,017;-6,86375;0,024;23,83409149;14,85740966;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 12;P4;8,31;-11,290875;0,012;-6,95575;0,015;23,73924777;14,76446281;;;;;;;;;;;;;;;;;
Fritsch_LR7_c6_eq 13;P4;5,03;-11,426875;0,014;-6,92275;0,015;23,7732678;14,79780244;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 1;nd;61;-10,25583333;0,03;-4,6815;0,041;26,08379484;17,06211894;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 2;nd;58;-10,14183333;0,019;-4,7735;0,042;25,98895112;16,96917209;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 3;nd;56;-10,26383333;0,03;-4,9655;0,027;25,7910164;16,77519607;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 4;nd;53;-10,32383333;0,022;-4,8085;0,016;25,95286927;16,93381188;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 5;nd;51;-10,46483333;0,013;-4,9455;0,036;25,8116346;16,7954019;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 6;nd;49;-10,35683333;0,016;-5,3225;0,031;25,42298153;16,41452189;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 7;nd;46;-10,42883333;0,021;-5,6285;0,034;25,10752307;16,1053726;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 8;nd;42,5;-10,58883333;0,027;-6,7645;0,082;23,93640931;14,95768112;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 9;nd;40,5;-10,14383333;0,013;-6,1875;0,028;24,53124438;15,54061949;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 10;nd;39,5;-10,43083333;0,015;-6,2085;0,028;24,50959527;15,51940336;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 11;nd;37;-10,48383333;0,016;-6,1255;0,021;24,5951608;15,60325758;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 12;nd;35;-10,57483333;0,013;-6,2845;0,042;24,43124611;15,44262118;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 13;nd;32;-10,62483333;0,013;-6,0005;0,046;24,72402455;15,72954405;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 14;nd;30,5;-10,55083333;0,029;-5,8055;0,041;24,925052;15,92655096;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 15;nd;28;-10,82383333;0,026;-5,5775;0,037;25,16009948;16,15689749;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 16;nd;26;-11,00483333;0,02;-5,8365;0,027;24,89309379;15,89523191;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 17;nd;25;-10,87483333;0,022;-5,6395;0,028;25,09618306;16,09425939;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 18;nd;22;-10,73083333;0,015;-6,0945;0,034;24,62711901;15,63457662;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 19;nd;20;-10,58983333;0,009;-5,8165;0,041;24,91371199;15,91543775;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 20;nd;19;-10,73983333;0,022;-5,5975;0,028;25,13948128;16,13669165;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 21;nd;16;-10,75583333;0,026;-4,8745;0,025;25,88482921;16,86713262;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 22;nd;12,5;-10,36783333;0,015;-6,5375;0,016;24,17042588;15,18701736;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 23;nd;11;-10,38683333;0,027;-4,8845;0,025;25,87452011;16,8570297;;;;;;;;;;;;;;;;;
Fritsch_LR8_equus 24;nd;10;-10,32883333;0,01;-4,9365;0,021;25,82091279;16,80449453;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 1;nd;59,72;-11,2963;0,009;-7,0241;0,032;23,66878507;14,69540937;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 2;nd;57,12;-11,3583;0,012;-6,5591;0,029;24,14815822;15,16519505;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 3;nd;54,06;-11,4613;0,008;-6,7371;0,021;23,96465624;14,98536311;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 4;nd;51,17;-10,9703;0,022;-6,5411;0,015;24,1667146;15,18338031;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 5;nd;48,21;-11,3923;0,013;-6,6141;0,03;24,09145817;15,10962901;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 6;nd;45,52;-11,5513;0,009;-6,1021;0,035;24,61928409;15,62689841;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 7;nd;42,78;-11,6743;0,019;-6,3541;0,022;24,35949477;15,37230487;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 8;nd;40,15;-11,4453;0,025;-6,3451;0,023;24,36877296;15,3813975;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 9;nd;37,3;-11,4593;0,023;-6,4361;0,044;24,27496015;15,28946095;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 10;nd;34,05;-11,2513;0,024;-6,5641;0,024;24,14300367;15,1601436;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 11;nd;30,74;-11,2123;0,015;-6,3581;0,027;24,35537113;15,36826371;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 12;nd;27,14;-11,2483;0,016;-6,2211;0,032;24,4966058;15,50667368;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 13;nd;24,18;-10,9973;0,013;-5,8881;0,013;24,83989883;15,84310085;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 14;nd;21,02;-10,9073;0,02;-6,3921;0,026;24,32032019;15,33391379;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 15;nd;17,16;-10,8453;0,019;-7,5991;0,022;23,07601182;14,11449158;;;;;;;;;;;;;;;;;
PIV20_Eq_L111 16;nd;13,2;-10,7713;0,01;-6,2631;0,042;24,45330758;15,46424143;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 1;P3/4;76,36;-10,9083;0,024;-7,3671;0,034;23,31518294;14,34887928;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 2;P3/4;72,8;-11,0253;0,008;-7,8301;0,023;22,83787161;13,88111418;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 3;P3/4;69,25;-11,0833;0,015;-8,5901;0,013;22,05438001;13,11329241;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 4;P3/4;65,68;-11,1243;0,024;-8,1151;0,015;22,54406226;13,59318101;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 5;P3/4;61,98;-11,3063;0,021;-8,3051;0,019;22,34818936;13,40122557;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 6;P3/4;58,07;-11,2673;0,021;-7,8381;0,034;22,82962433;13,87303184;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 7;P3/4;54,41;-11,1223;0,021;-7,7251;0,019;22,94611716;13,98719482;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 8;P3/4;50,97;-11,2543;0,018;-7,7161;0,033;22,95539535;13,99628744;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 9;P3/4;47;-11,2003;0,011;-7,4511;0,021;23,2285865;14,26401477;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 10;P3/4;43,5;-11,1213;0,015;-7,5291;0,02;23,14817552;14,18521201;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 11;P3/4;39,43;-11,1903;0,018;-7,2601;0,04;23,42549031;14,4569805;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 12;P3/4;35,13;-11,1853;0,01;-6,6661;0,039;24,03785085;15,05709383;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 13;P3/4;30,8;-11,1603;0,019;-6,9971;0,016;23,69661964;14,72268725;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 14;P3/4;26,88;-10,8823;0,015;-7,1021;0,009;23,58837409;14,61660661;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 15;P3/4;23,13;-10,9193;0,023;-7,7241;0,026;22,94714807;13,98820511;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 16;P3/4;18,93;-10,9913;0,016;-7,6171;0,027;23,05745544;14,09630633;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 17;P3/4;14,87;-11,0613;0,019;-7,2301;0,01;23,45641761;14,48728926;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 18;P3/4;10,54;-10,9293;0,018;-6,9701;0,031;23,72445421;14,74996512;;;;;;;;;;;;;;;;;
PIV20_Eq_W106 19;P3/4;6,5;-10,8063;0,018;-5,8571;0,021;24,87185704;15,8744199;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
